variable,reserve_money,currency_in_circulation,net_foreign_exchange_assets,claims_on_government_net,bankers_deposits_with_rbi
reserve_money,1.0,0.9968666715921035,0.9859978687668546,0.8990017514827504,0.9448282396771235
currency_in_circulation,0.9968666715921035,1.0,0.9795737388394099,0.9100860375157772,0.916098333220284
net_foreign_exchange_assets,0.9859978687668546,0.9795737388394099,1.0,0.8452318947407557,0.9429824296104095
claims_on_government_net,0.8990017514827504,0.9100860375157772,0.8452318947407557,1.0,0.7959972818564938
bankers_deposits_with_rbi,0.9448282396771235,0.916098333220284,0.9429824296104095,0.7959972818564938,1.0
